A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,D_TRA1_1_SPOT
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,휴식/휴양,,,,,,,종교/성지순례,,,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,기타,경상북도 청도군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 포천시
,,,,,,,,,,,,,,,,,,,,기타,세종특별자치시 세종시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 양평군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 가평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 의정부시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 중구
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 강릉시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청남도 부여군
,,,,,,,,,,,,,,,,,,,,,세종특별자치시 세종시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 포천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 가평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 안산시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,드라마 촬영지 방문,,,,,,강원도 철원군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,경기도 용인시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,역사 유적지 방문,,,,,,,,,,,,,,,,,,충청남도 부여군
,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,경기도 여주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 가평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 인제군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 양평군
자연 및 풍경감상,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,경기도 용인시
자연 및 풍경감상,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,경기도 화성시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,인천광역시 옹진군
자연 및 풍경감상,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,경기도 과천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,충청남도 부여군
자연 및 풍경감상,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,경기도 여주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 부여군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 안산시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 광주시
,,,,,,,,,,,,,,,,,,,,,울산광역시 동구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,부산광역시 동구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,강원도 양양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 제주시
,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 동두천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 평창군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 남동구
,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 가평군
,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,강원도 양구군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 파주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 옹진군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,강원도 인제군
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 춘천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 용인시
,,,,,,,,,,,,,,,,,,,,,
,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,경기도 가평군
,,,,,휴식/휴양,,,,,,교육/체험 프로그램 참가,,,,,,,,,,강원도 동해시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,온천/스파,,,,,,,,,,,,,,,충청남도 아산시
,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,경기도 과천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,경기도 용인시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 가평군
자연 및 풍경감상,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,경상북도 울진군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,강원도 철원군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,기타,세종특별자치시 세종시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 동해시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,온천/스파,,,,,,,,,,,,,,,강원도 양양군
자연 및 풍경감상,음식관광(지역 맛집 등),,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,온천/스파,,,,,,,,,드라마 촬영지 방문,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,지역 축제/이벤트 참가,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,지역 축제/이벤트 참가,,,,,드라마 촬영지 방문,,,,,,강원도 강릉시
자연 및 풍경감상,음식관광(지역 맛집 등),,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,온천/스파,,,,,,,,,,,,,,,경상북도 울진군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,온천/스파,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,시티투어,,,가족/친지/친구 방문,,,,경상북도 포항시
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,경기도 남양주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,경기도 여주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,쇼핑,,,,,,,,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 양주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,시티투어,,,,,,,경상북도 경주시
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,경기도 가평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,시티투어,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,충청북도 제천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,강원도 춘천시
,,"야외 위락 및 스포츠, 레포츠 활동",,,휴식/휴양,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 가평군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,시티투어,,,,,,,충청남도 예산군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,경기도 고양시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,시티투어,,,,,,,강원도 속초시
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,시티투어,,,,,,,제주특별자치도 제주시
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,시티투어,,,,,,,전라남도 강진군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,경상북도 경주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,전라남도 목포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 속초시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 춘천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 의정부시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,지역 축제/이벤트 참가,,,,,,,,,,,충청남도 태안군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,전라남도 신안군
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,대구광역시 달서구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 서귀포시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 철원군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,충청남도 부여군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,드라마 촬영지 방문,,,,,,강원도 평창군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,전라북도 부안군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 장흥군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,종교/성지순례,,,,,,,,,대구광역시 동구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 남동구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,드라마 촬영지 방문,,,,,,제주특별자치도 서귀포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,드라마 촬영지 방문,,,,,,경기도 양평군
자연 및 풍경감상,,,,,,,,,,,,,,,드라마 촬영지 방문,,,,,,경기도 가평군
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,드라마 촬영지 방문,,,,,,제주특별자치도 서귀포시
자연 및 풍경감상,,,,,,,,,,,,,,시티투어,,,,,,,강원도 춘천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,충청남도 태안군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 홍천군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,시티투어,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,경기도 수원시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 안산시
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 화성시
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,전라북도 군산시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,지역 문화예술/공연/전시시설 관람,,,,,,,,,,,,,전라남도 무안군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,충청남도 태안군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,제주특별자치도 서귀포시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,경기도 포천시
,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,가족/친지/친구 방문,,,,전라남도 나주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,전라북도 익산시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 성남시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 홍천군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,경상북도 경주시
,,,,,,,,,,,,,,,,,,,,,경기도 광주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 서귀포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,전라남도 해남군
,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,경기도 양주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,쇼핑,,,,,,,,,,,,,,강원도 속초시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,경상북도 포항시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 화성시
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,경기도 수원시
,,,,,,,,,,,,,,,,,,,,,경기도 남양주시
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,가족/친지/친구 방문,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,경상북도 안동시
,,,,,,,,,,,,,,,,,,,,,경기도 화성시
,,,,,,,,,,,,,,,,,,,,,경기도 가평군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 서귀포시
자연 및 풍경감상,,,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,,,,,,,,,,,,,,,,전라남도 진도군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 서귀포시
자연 및 풍경감상,,,,,휴식/휴양,,,,,지역 축제/이벤트 참가,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,교육/체험 프로그램 참가,,,,,,,,,,경상남도 남해군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 보은군
,,,,,,,,,,,,,,,,,,,,,경기도 이천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,부산광역시 동래구
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,충청북도 청주시
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,울산광역시 남구
,,,,,,,,,,,,,,,,,,,,,경기도 평택시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,지역 축제/이벤트 참가,,,,,,,,,,,제주특별자치도 서귀포시
,,,,,,,,,,,,,,,,,,,,,경기도 의정부시
,,,,,,,,,,,,,,,,,,,,,경기도 이천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 옹진군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경상북도 울릉군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,지역 축제/이벤트 참가,,,,,,,,,,,전라북도 군산시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 용인시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
